participant, trial, stimulus, response, rt
18, 1, O, f, 0.506
18, 2, O, f, 0.11
18, 3, O, f, 0.11
18, 4, Q, f, 0.11
18, 5, O, f, 0.388
18, 6, O, f, 0.11
18, 7, O, f, 0.386
18, 8, O, f, 0.11
18, 9, O, f, 0.11
18, 10, O, f, 0.11
18, 11, O, f, 0.11
18, 12, O, f, 0.384
18, 13, O, f, 0.386
18, 14, O, f, 0.11
18, 15, O, f, 0.11
18, 16, O, f, 0.11
18, 17, O, f, 0.384
18, 18, O, f, 0.386
18, 19, O, f, 0.11
18, 20, O, f, 0.385
18, 21, O, f, 0.11
18, 22, O, f, 0.11
18, 23, O, f, 0.385
18, 24, O, f, 0.384
18, 25, O, f, 0.11
18, 26, O, f, 0.391
18, 27, O, f, 0.382
18, 28, O, f, 0.384
18, 29, O, f, 0.11
18, 30, O, f, 0.11
18, 31, O, f, 0.386
18, 32, O, f, 0.385
18, 33, O, f, 0.11
18, 34, O, f, 0.386
18, 35, O, f, 0.11
18, 36, O, f, 0.383
18, 37, O, f, 0.384
18, 38, O, f, 0.384
18, 39, O, f, 0.387
18, 40, O, f, 0.385
18, 41, O, f, 0.11
18, 42, O, f, 0.385
18, 43, O, f, 0.385
18, 44, O, f, 0.388
18, 45, O, f, 0.385
18, 46, O, f, 0.11
18, 47, O, f, 0.11
18, 48, O, f, 0.386
18, 49, O, f, 0.11
18, 50, O, f, 0.385
18, 51, Q, f, 0.11
18, 52, O, f, 0.386
18, 53, O, f, 0.385
18, 54, O, f, 0.11
18, 55, O, f, 0.383
18, 56, O, f, 0.389
18, 57, O, f, 0.11
18, 58, O, f, 0.11
18, 59, O, f, 0.386
18, 60, O, f, 0.385
18, 61, O, f, 0.11
18, 62, O, f, 0.11
18, 63, O, f, 0.11
18, 64, O, f, 0.11
18, 65, O, f, 0.385
18, 66, O, f, 0.394
18, 67, O, f, 0.11
18, 68, O, f, 0.11
18, 69, Q, NIL, NIL
18, 70, O, f, 0.11
18, 71, O, f, 0.388
18, 72, O, f, 0.11
18, 73, O, f, 0.11
18, 74, O, f, 0.11
18, 75, O, f, 0.11
18, 76, O, f, 0.382
18, 77, O, f, 0.11
18, 78, O, f, 0.11
18, 79, O, f, 0.385
18, 80, O, f, 0.385
18, 81, O, f, 0.11
18, 82, O, f, 0.388
18, 83, Q, NIL, NIL
18, 84, O, f, 0.11
18, 85, O, f, 0.384
18, 86, O, f, 0.384
18, 87, Q, f, 0.11
18, 88, O, f, 0.383
18, 89, O, f, 0.11
18, 90, O, f, 0.11
18, 91, O, f, 0.387
18, 92, O, f, 0.11
18, 93, Q, f, 0.11
18, 94, O, f, 0.11
18, 95, O, f, 0.11
18, 96, O, f, 0.11
18, 97, O, f, 0.11
18, 98, O, f, 0.11
18, 99, O, f, 0.11
18, 100, O, f, 0.383
18, 101, O, f, 0.11
18, 102, O, f, 0.387
18, 103, O, f, 0.386
18, 104, O, f, 0.11
18, 105, O, f, 0.385
18, 106, O, f, 0.383
18, 107, O, f, 0.384
