participant, trial, stimulus, response, rt
2, 1, O, f, 0.505
2, 2, O, f, 0.11
2, 3, O, f, 0.384
2, 4, Q, NIL, NIL
2, 5, O, f, 0.11
2, 6, Q, f, 0.11
2, 7, O, f, 0.11
2, 8, O, f, 0.11
2, 9, Q, NIL, NIL
2, 10, O, f, 0.11
2, 11, O, f, 0.11
2, 12, O, f, 0.385
2, 13, O, f, 0.386
2, 14, O, f, 0.383
2, 15, O, f, 0.11
2, 16, O, f, 0.11
2, 17, O, f, 0.11
2, 18, O, f, 0.386
2, 19, O, f, 0.11
2, 20, O, f, 0.385
2, 21, O, f, 0.11
2, 22, O, f, 0.11
2, 23, O, f, 0.11
2, 24, O, f, 0.383
2, 25, O, f, 0.387
2, 26, O, f, 0.385
2, 27, O, f, 0.384
2, 28, O, f, 0.11
2, 29, O, f, 0.385
2, 30, O, f, 0.11
2, 31, O, f, 0.386
2, 32, Q, NIL, NIL
2, 33, O, f, 0.385
2, 34, O, f, 0.384
2, 35, O, f, 0.388
2, 36, O, f, 0.11
2, 37, O, f, 0.11
2, 38, O, f, 0.11
2, 39, O, f, 0.11
2, 40, O, f, 0.11
2, 41, O, f, 0.384
2, 42, O, f, 0.385
2, 43, O, f, 0.385
2, 44, O, f, 0.11
2, 45, O, f, 0.11
2, 46, O, f, 0.385
2, 47, O, f, 0.11
2, 48, Q, NIL, NIL
2, 49, O, f, 0.11
2, 50, O, f, 0.386
2, 51, O, f, 0.11
2, 52, O, f, 0.385
2, 53, O, f, 0.11
2, 54, O, f, 0.11
2, 55, O, f, 0.383
2, 56, O, f, 0.11
2, 57, Q, NIL, NIL
2, 58, O, f, 0.386
2, 59, O, f, 0.11
2, 60, O, f, 0.11
2, 61, O, f, 0.386
2, 62, O, f, 0.383
2, 63, O, f, 0.384
2, 64, O, f, 0.383
2, 65, O, f, 0.11
2, 66, O, f, 0.383
2, 67, O, f, 0.11
2, 68, O, f, 0.383
2, 69, O, f, 0.385
2, 70, O, f, 0.385
2, 71, O, f, 0.386
2, 72, O, f, 0.11
2, 73, O, f, 0.387
2, 74, Q, NIL, NIL
2, 75, O, f, 0.11
2, 76, O, f, 0.11
2, 77, Q, f, 0.11
2, 78, O, f, 0.11
2, 79, O, f, 0.11
2, 80, Q, f, 0.11
2, 81, Q, f, 0.11
2, 82, O, f, 0.382
2, 83, O, f, 0.384
2, 84, O, f, 0.382
2, 85, O, f, 0.383
2, 86, O, f, 0.11
2, 87, O, f, 0.11
2, 88, O, f, 0.385
2, 89, O, f, 0.11
2, 90, O, f, 0.11
2, 91, O, f, 0.11
2, 92, Q, f, 0.11
2, 93, O, f, 0.11
2, 94, O, f, 0.11
2, 95, O, f, 0.11
2, 96, O, f, 0.11
2, 97, O, f, 0.383
2, 98, O, f, 0.385
2, 99, O, f, 0.11
2, 100, O, f, 0.383
2, 101, O, f, 0.385
2, 102, O, f, 0.39
2, 103, O, f, 0.11
2, 104, O, f, 0.11
2, 105, O, f, 0.11
2, 106, O, f, 0.386
2, 107, O, f, 0.386
2, 108, O, f, 0.383
2, 109, O, f, 0.11
2, 110, O, f, 0.11
2, 111, O, f, 0.387
2, 112, O, f, 0.11
2, 113, Q, NIL, NIL
2, 114, O, f, 0.11
2, 115, O, f, 0.11
2, 116, O, f, 0.385
2, 117, O, f, 0.11
2, 118, O, f, 0.11
2, 119, O, f, 0.387
2, 120, O, f, 0.11
2, 121, O, f, 0.11
2, 122, O, f, 0.387
2, 123, O, f, 0.39
2, 124, O, f, 0.384
2, 125, O, f, 0.11
2, 126, O, f, 0.385
2, 127, O, f, 0.391
2, 128, O, f, 0.384
2, 129, O, f, 0.382
2, 130, O, f, 0.385
2, 131, O, f, 0.384
2, 132, O, f, 0.11
2, 133, O, f, 0.11
2, 134, O, f, 0.11
2, 135, O, f, 0.384
2, 136, O, f, 0.385
2, 137, O, f, 0.11
2, 138, O, f, 0.383
2, 139, O, f, 0.11
2, 140, O, f, 0.11
2, 141, O, f, 0.11
2, 142, O, f, 0.384
2, 143, Q, f, 0.11
2, 144, O, f, 0.11
2, 145, O, f, 0.11
2, 146, O, f, 0.11
2, 147, O, f, 0.11
2, 148, O, f, 0.382
2, 149, O, f, 0.11
2, 150, O, f, 0.11
2, 151, O, f, 0.11
2, 152, O, f, 0.383
2, 153, O, f, 0.387
2, 154, O, f, 0.11
2, 155, O, f, 0.386
2, 156, O, f, 0.385
2, 157, O, f, 0.386
2, 158, O, f, 0.11
2, 159, Q, f, 0.11
2, 160, O, f, 0.386
2, 161, O, f, 0.387
2, 162, O, f, 0.11
2, 163, O, f, 0.384
2, 164, O, f, 0.11
2, 165, O, f, 0.384
2, 166, O, f, 0.385
2, 167, O, f, 0.11
2, 168, O, f, 0.11
2, 169, O, f, 0.11
2, 170, O, f, 0.387
2, 171, O, f, 0.384
2, 172, O, f, 0.385
2, 173, Q, f, 0.11
2, 174, O, f, 0.384
2, 175, O, f, 0.386
2, 176, O, f, 0.11
2, 177, O, f, 0.11
2, 178, O, f, 0.385
2, 179, O, f, 0.385
2, 180, O, f, 0.11
2, 181, O, f, 0.11
2, 182, O, f, 0.389
2, 183, O, f, 0.385
2, 184, Q, NIL, NIL
2, 185, O, f, 0.11
2, 186, O, f, 0.11
2, 187, Q, NIL, NIL
2, 188, O, f, 0.386
2, 189, O, f, 0.393
2, 190, O, f, 0.387
2, 191, O, f, 0.385
2, 192, O, f, 0.11
2, 193, Q, NIL, NIL
2, 194, O, f, 0.11
2, 195, O, f, 0.11
2, 196, Q, f, 0.11
2, 197, O, f, 0.384
2, 198, O, f, 0.11
2, 199, Q, f, 0.11
2, 200, O, f, 0.388
