participant, trial, stimulus, response, rt
1, 1, O, f, 0.506
1, 2, O, f, 0.384
1, 3, O, f, 0.384
1, 4, O, f, 0.39
1, 5, O, f, 0.385
1, 6, O, f, 0.386
1, 7, O, f, 0.11
1, 8, O, f, 0.384
1, 9, Q, NIL, NIL
1, 10, Q, f, 0.11
1, 11, O, f, 0.389
1, 12, Q, NIL, NIL
1, 13, O, f, 0.11
1, 14, O, f, 0.387
1, 15, O, f, 0.11
1, 16, O, f, 0.11
1, 17, O, f, 0.11
1, 18, O, f, 0.11
1, 19, Q, f, 0.11
1, 20, O, f, 0.11
1, 21, O, f, 0.11
1, 22, O, f, 0.11
1, 23, O, f, 0.386
1, 24, O, f, 0.388
1, 25, O, f, 0.11
1, 26, O, f, 0.386
1, 27, O, f, 0.39
1, 28, O, f, 0.11
1, 29, O, f, 0.386
1, 30, O, f, 0.388
1, 31, O, f, 0.11
1, 32, O, f, 0.11
1, 33, O, f, 0.39
1, 34, O, f, 0.389
1, 35, O, f, 0.11
1, 36, O, f, 0.11
1, 37, O, f, 0.11
1, 38, O, f, 0.11
1, 39, O, f, 0.11
1, 40, O, f, 0.11
1, 41, O, f, 0.389
1, 42, O, f, 0.387
1, 43, O, f, 0.389
1, 44, Q, NIL, NIL
1, 45, O, f, 0.387
1, 46, O, f, 0.386
1, 47, O, f, 0.386
1, 48, O, f, 0.11
1, 49, O, f, 0.11
1, 50, O, f, 0.383
1, 51, O, f, 0.11
1, 52, O, f, 0.385
1, 53, O, f, 0.11
1, 54, O, f, 0.385
1, 55, O, f, 0.11
1, 56, O, f, 0.389
1, 57, O, f, 0.11
1, 58, O, f, 0.11
1, 59, O, f, 0.11
1, 60, O, f, 0.11
1, 61, O, f, 0.386
1, 62, O, f, 0.387
1, 63, O, f, 0.388
1, 64, Q, f, 0.11
1, 65, O, f, 0.11
1, 66, O, f, 0.386
1, 67, O, f, 0.384
1, 68, O, f, 0.11
1, 69, O, f, 0.11
1, 70, O, f, 0.11
1, 71, O, f, 0.11
1, 72, O, f, 0.386
1, 73, O, f, 0.11
1, 74, O, f, 0.11
1, 75, O, f, 0.386
1, 76, O, f, 0.11
1, 77, O, f, 0.384
1, 78, O, f, 0.11
1, 79, O, f, 0.394
1, 80, O, f, 0.385
