participant, trial, stimulus, response, rt
23, 1, O, f, 0.506
23, 2, O, f, 0.11
23, 3, O, f, 0.384
23, 4, O, f, 0.389
23, 5, O, f, 0.385
23, 6, O, f, 0.383
23, 7, O, f, 0.11
23, 8, O, f, 0.11
23, 9, O, f, 0.11
23, 10, O, f, 0.11
23, 11, O, f, 0.11
23, 12, O, f, 0.384
23, 13, O, f, 0.11
23, 14, O, f, 0.386
23, 15, O, f, 0.11
23, 16, O, f, 0.384
23, 17, Q, NIL, NIL
23, 18, O, f, 0.384
23, 19, O, f, 0.387
23, 20, O, f, 0.11
23, 21, O, f, 0.384
23, 22, O, f, 0.11
23, 23, O, f, 0.11
23, 24, O, f, 0.384
23, 25, O, f, 0.385
23, 26, O, f, 0.385
23, 27, O, f, 0.11
23, 28, O, f, 0.383
23, 29, O, f, 0.11
23, 30, O, f, 0.11
23, 31, O, f, 0.385
23, 32, O, f, 0.385
23, 33, O, f, 0.386
23, 34, Q, f, 0.11
23, 35, O, f, 0.11
23, 36, O, f, 0.11
23, 37, O, f, 0.11
23, 38, O, f, 0.11
23, 39, O, f, 0.11
23, 40, O, f, 0.11
23, 41, O, f, 0.11
23, 42, O, f, 0.388
23, 43, O, f, 0.385
23, 44, O, f, 0.11
23, 45, O, f, 0.11
23, 46, O, f, 0.11
23, 47, O, f, 0.384
23, 48, O, f, 0.384
23, 49, O, f, 0.386
23, 50, O, f, 0.387
23, 51, Q, NIL, NIL
23, 52, O, f, 0.385
23, 53, O, f, 0.388
23, 54, O, f, 0.384
23, 55, O, f, 0.385
23, 56, O, f, 0.11
23, 57, O, f, 0.385
23, 58, O, f, 0.384
23, 59, O, f, 0.11
23, 60, O, f, 0.11
23, 61, O, f, 0.383
23, 62, O, f, 0.388
23, 63, O, f, 0.387
23, 64, O, f, 0.387
23, 65, O, f, 0.383
23, 66, O, f, 0.11
23, 67, O, f, 0.11
23, 68, O, f, 0.11
23, 69, O, f, 0.11
23, 70, O, f, 0.384
23, 71, O, f, 0.385
23, 72, O, f, 0.384
23, 73, Q, f, 0.11
23, 74, O, f, 0.385
23, 75, O, f, 0.11
23, 76, O, f, 0.11
23, 77, O, f, 0.11
23, 78, O, f, 0.386
23, 79, O, f, 0.383
23, 80, O, f, 0.383
23, 81, O, f, 0.384
23, 82, Q, f, 0.11
23, 83, Q, f, 0.11
23, 84, Q, f, 0.11
23, 85, O, f, 0.11
23, 86, O, f, 0.11
23, 87, O, f, 0.11
23, 88, O, f, 0.11
23, 89, O, f, 0.11
23, 90, O, f, 0.385
23, 91, Q, f, 0.11
23, 92, Q, NIL, NIL
23, 93, O, f, 0.384
23, 94, O, f, 0.11
23, 95, O, f, 0.385
23, 96, O, f, 0.11
23, 97, O, f, 0.11
23, 98, O, f, 0.11
23, 99, O, f, 0.11
23, 100, O, f, 0.11
23, 101, O, f, 0.11
23, 102, O, f, 0.11
23, 103, Q, NIL, NIL
23, 104, Q, NIL, NIL
23, 105, O, f, 0.389
23, 106, O, f, 0.385
23, 107, O, f, 0.386
23, 108, O, f, 0.11
23, 109, O, f, 0.11
23, 110, O, f, 0.389
23, 111, O, f, 0.386
23, 112, O, f, 0.11
23, 113, O, f, 0.385
23, 114, O, f, 0.11
23, 115, O, f, 0.11
23, 116, O, f, 0.385
23, 117, Q, f, 0.11
23, 118, O, f, 0.11
23, 119, O, f, 0.384
23, 120, O, f, 0.11
23, 121, O, f, 0.11
