participant, trial, stimulus, response, rt
4, 1, O, f, 0.5
4, 2, Q, NIL, NIL
4, 3, O, f, 0.11
4, 4, O, f, 0.11
4, 5, O, f, 0.11
4, 6, O, f, 0.11
4, 7, O, f, 0.386
4, 8, O, f, 0.11
4, 9, O, f, 0.11
4, 10, O, f, 0.11
4, 11, O, f, 0.384
4, 12, O, f, 0.384
4, 13, O, f, 0.11
4, 14, O, f, 0.11
4, 15, O, f, 0.11
4, 16, Q, NIL, NIL
4, 17, O, f, 0.11
4, 18, O, f, 0.388
4, 19, Q, f, 0.11
4, 20, O, f, 0.11
4, 21, O, f, 0.386
4, 22, O, f, 0.381
4, 23, O, f, 0.384
4, 24, O, f, 0.11
4, 25, O, f, 0.385
4, 26, O, f, 0.384
4, 27, O, f, 0.386
4, 28, O, f, 0.383
4, 29, O, f, 0.11
4, 30, O, f, 0.11
4, 31, O, f, 0.385
4, 32, O, f, 0.383
4, 33, Q, NIL, NIL
4, 34, O, f, 0.384
4, 35, O, f, 0.11
4, 36, O, f, 0.11
4, 37, O, f, 0.11
4, 38, O, f, 0.11
4, 39, O, f, 0.11
4, 40, O, f, 0.11
4, 41, O, f, 0.39
4, 42, O, f, 0.385
4, 43, O, f, 0.11
4, 44, O, f, 0.11
4, 45, O, f, 0.384
4, 46, O, f, 0.384
4, 47, O, f, 0.386
4, 48, O, f, 0.11
4, 49, O, f, 0.389
4, 50, O, f, 0.384
4, 51, O, f, 0.385
4, 52, O, f, 0.11
4, 53, O, f, 0.385
4, 54, O, f, 0.11
4, 55, O, f, 0.386
4, 56, O, f, 0.11
4, 57, O, f, 0.11
4, 58, Q, f, 0.11
4, 59, O, f, 0.386
4, 60, O, f, 0.397
4, 61, O, f, 0.11
4, 62, O, f, 0.382
4, 63, O, f, 0.384
4, 64, O, f, 0.387
4, 65, O, f, 0.11
4, 66, O, f, 0.386
4, 67, O, f, 0.383
4, 68, O, f, 0.11
4, 69, O, f, 0.11
4, 70, O, f, 0.386
4, 71, O, f, 0.386
4, 72, O, f, 0.385
4, 73, Q, NIL, NIL
4, 74, O, f, 0.11
4, 75, O, f, 0.11
4, 76, O, f, 0.11
4, 77, O, f, 0.384
4, 78, O, f, 0.11
4, 79, O, f, 0.11
4, 80, O, f, 0.385
4, 81, O, f, 0.11
4, 82, O, f, 0.11
4, 83, O, f, 0.384
4, 84, O, f, 0.384
4, 85, Q, NIL, NIL
4, 86, O, f, 0.383
4, 87, Q, NIL, NIL
4, 88, O, f, 0.11
4, 89, Q, NIL, NIL
4, 90, O, f, 0.11
4, 91, O, f, 0.384
4, 92, O, f, 0.11
4, 93, O, f, 0.386
4, 94, O, f, 0.385
4, 95, O, f, 0.383
4, 96, O, f, 0.384
4, 97, O, f, 0.11
4, 98, O, f, 0.392
4, 99, O, f, 0.11
4, 100, O, f, 0.11
4, 101, O, f, 0.387
4, 102, O, f, 0.11
4, 103, O, f, 0.11
