participant, trial, stimulus, response, rt
15, 1, O, f, 0.505
15, 2, Q, NIL, NIL
15, 3, O, f, 0.385
15, 4, O, f, 0.11
15, 5, O, f, 0.384
15, 6, O, f, 0.11
15, 7, O, f, 0.11
15, 8, O, f, 0.386
15, 9, O, f, 0.386
15, 10, O, f, 0.383
15, 11, O, f, 0.11
15, 12, O, f, 0.11
15, 13, O, f, 0.382
15, 14, O, f, 0.11
15, 15, O, f, 0.11
15, 16, O, f, 0.11
15, 17, O, f, 0.11
15, 18, O, f, 0.11
15, 19, Q, f, 0.11
15, 20, O, f, 0.387
15, 21, O, f, 0.11
15, 22, O, f, 0.385
15, 23, O, f, 0.11
15, 24, O, f, 0.385
15, 25, O, f, 0.11
15, 26, Q, f, 0.11
15, 27, O, f, 0.11
15, 28, O, f, 0.388
15, 29, O, f, 0.384
15, 30, O, f, 0.384
15, 31, O, f, 0.11
15, 32, O, f, 0.11
15, 33, O, f, 0.39
15, 34, O, f, 0.11
15, 35, O, f, 0.11
15, 36, O, f, 0.11
15, 37, O, f, 0.11
15, 38, O, f, 0.11
15, 39, O, f, 0.384
15, 40, O, f, 0.11
15, 41, O, f, 0.384
15, 42, O, f, 0.383
15, 43, O, f, 0.384
15, 44, O, f, 0.383
15, 45, O, f, 0.11
15, 46, O, f, 0.11
15, 47, Q, NIL, NIL
15, 48, O, f, 0.11
15, 49, O, f, 0.11
15, 50, O, f, 0.11
15, 51, O, f, 0.11
15, 52, O, f, 0.11
15, 53, O, f, 0.11
15, 54, O, f, 0.384
15, 55, O, f, 0.11
15, 56, Q, f, 0.11
15, 57, O, f, 0.387
15, 58, Q, NIL, NIL
15, 59, Q, f, 0.11
15, 60, O, f, 0.11
15, 61, O, f, 0.387
15, 62, O, f, 0.386
15, 63, O, f, 0.388
15, 64, O, f, 0.11
15, 65, O, f, 0.11
15, 66, O, f, 0.387
15, 67, O, f, 0.383
15, 68, O, f, 0.11
15, 69, O, f, 0.383
15, 70, O, f, 0.388
15, 71, O, f, 0.386
15, 72, Q, NIL, NIL
15, 73, O, f, 0.388
15, 74, O, f, 0.387
15, 75, O, f, 0.11
15, 76, O, f, 0.11
15, 77, O, f, 0.11
15, 78, O, f, 0.11
15, 79, O, f, 0.11
15, 80, O, f, 0.11
15, 81, O, f, 0.392
15, 82, O, f, 0.384
15, 83, O, f, 0.11
15, 84, O, f, 0.11
15, 85, O, f, 0.11
15, 86, O, f, 0.385
15, 87, O, f, 0.11
15, 88, O, f, 0.384
15, 89, O, f, 0.385
15, 90, Q, NIL, NIL
15, 91, O, f, 0.386
15, 92, Q, NIL, NIL
15, 93, O, f, 0.11
15, 94, O, f, 0.384
15, 95, O, f, 0.11
15, 96, O, f, 0.384
15, 97, O, f, 0.11
15, 98, O, f, 0.11
15, 99, O, f, 0.11
15, 100, O, f, 0.387
15, 101, O, f, 0.11
15, 102, O, f, 0.384
15, 103, O, f, 0.385
15, 104, Q, NIL, NIL
15, 105, Q, NIL, NIL
15, 106, O, f, 0.384
15, 107, O, f, 0.386
15, 108, O, f, 0.11
15, 109, Q, f, 0.11
15, 110, O, f, 0.11
15, 111, O, f, 0.386
15, 112, O, f, 0.11
15, 113, O, f, 0.11
15, 114, O, f, 0.11
15, 115, O, f, 0.385
15, 116, O, f, 0.11
15, 117, O, f, 0.386
15, 118, O, f, 0.11
15, 119, Q, f, 0.11
15, 120, O, f, 0.11
15, 121, O, f, 0.389
15, 122, O, f, 0.11
15, 123, O, f, 0.387
15, 124, Q, NIL, NIL
15, 125, Q, f, 0.11
15, 126, O, f, 0.11
15, 127, O, f, 0.11
15, 128, O, f, 0.11
15, 129, O, f, 0.11
15, 130, Q, NIL, NIL
15, 131, O, f, 0.386
15, 132, O, f, 0.11
15, 133, O, f, 0.385
15, 134, O, f, 0.11
15, 135, O, f, 0.11
15, 136, O, f, 0.11
15, 137, O, f, 0.384
15, 138, O, f, 0.11
15, 139, O, f, 0.11
15, 140, O, f, 0.384
15, 141, O, f, 0.11
15, 142, O, f, 0.11
15, 143, O, f, 0.11
15, 144, O, f, 0.383
15, 145, O, f, 0.384
15, 146, O, f, 0.11
15, 147, O, f, 0.11
15, 148, O, f, 0.11
15, 149, O, f, 0.385
15, 150, Q, f, 0.11
15, 151, Q, NIL, NIL
15, 152, O, f, 0.11
15, 153, O, f, 0.11
15, 154, O, f, 0.388
15, 155, O, f, 0.11
15, 156, O, f, 0.11
15, 157, O, f, 0.11
15, 158, O, f, 0.385
15, 159, O, f, 0.384
15, 160, O, f, 0.11
15, 161, O, f, 0.385
15, 162, O, f, 0.11
15, 163, O, f, 0.11
15, 164, O, f, 0.11
15, 165, O, f, 0.11
15, 166, O, f, 0.11
15, 167, O, f, 0.386
15, 168, O, f, 0.11
15, 169, O, f, 0.11
15, 170, O, f, 0.385
15, 171, O, f, 0.383
