participant, trial, stimulus, response, rt
25, 1, O, f, 0.503
25, 2, O, f, 0.384
25, 3, O, f, 0.385
25, 4, O, f, 0.385
25, 5, O, f, 0.383
25, 6, O, f, 0.382
25, 7, Q, NIL, NIL
25, 8, O, f, 0.383
25, 9, O, f, 0.383
25, 10, O, f, 0.388
25, 11, Q, NIL, NIL
25, 12, Q, NIL, NIL
25, 13, O, f, 0.385
25, 14, O, f, 0.382
25, 15, O, f, 0.389
25, 16, O, f, 0.386
25, 17, O, f, 0.385
25, 18, O, f, 0.382
25, 19, O, f, 0.386
25, 20, Q, NIL, NIL
25, 21, O, f, 0.383
25, 22, O, f, 0.383
25, 23, O, f, 0.385
25, 24, O, f, 0.384
25, 25, O, f, 0.386
25, 26, O, f, 0.384
25, 27, O, f, 0.384
25, 28, O, f, 0.387
25, 29, O, f, 0.387
25, 30, O, f, 0.388
25, 31, O, f, 0.389
25, 32, O, f, 0.388
25, 33, O, f, 0.383
25, 34, O, f, 0.385
25, 35, O, f, 0.383
25, 36, O, f, 0.384
25, 37, O, f, 0.384
25, 38, O, f, 0.385
25, 39, O, f, 0.384
25, 40, O, f, 0.384
25, 41, O, f, 0.383
25, 42, O, f, 0.386
25, 43, O, f, 0.385
25, 44, Q, NIL, NIL
25, 45, O, f, 0.387
25, 46, O, f, 0.385
25, 47, O, f, 0.386
25, 48, O, f, 0.385
25, 49, O, f, 0.384
25, 50, O, f, 0.387
25, 51, O, f, 0.384
25, 52, O, f, 0.386
25, 53, O, f, 0.387
25, 54, O, f, 0.384
25, 55, Q, NIL, NIL
25, 56, O, f, 0.384
25, 57, O, f, 0.386
25, 58, O, f, 0.388
25, 59, O, f, 0.388
25, 60, O, f, 0.386
25, 61, O, f, 0.39
25, 62, O, f, 0.385
25, 63, O, f, 0.382
25, 64, O, f, 0.387
25, 65, O, f, 0.387
25, 66, O, f, 0.387
25, 67, O, f, 0.386
25, 68, O, f, 0.384
25, 69, O, f, 0.386
25, 70, O, f, 0.383
25, 71, O, f, 0.383
25, 72, O, f, 0.389
25, 73, O, f, 0.385
25, 74, O, f, 0.386
25, 75, Q, NIL, NIL
25, 76, O, f, 0.387
25, 77, O, f, 0.386
25, 78, O, f, 0.386
25, 79, O, f, 0.382
25, 80, O, f, 0.384
25, 81, O, f, 0.384
25, 82, O, f, 0.384
25, 83, O, f, 0.383
25, 84, O, f, 0.386
25, 85, O, f, 0.384
25, 86, O, f, 0.384
25, 87, O, f, 0.387
25, 88, O, f, 0.387
25, 89, O, f, 0.382
25, 90, O, f, 0.383
25, 91, O, f, 0.385
25, 92, O, f, 0.385
25, 93, O, f, 0.387
25, 94, O, f, 0.385
25, 95, Q, NIL, NIL
25, 96, O, f, 0.387
25, 97, O, f, 0.386
25, 98, O, f, 0.386
25, 99, O, f, 0.385
25, 100, O, f, 0.385
25, 101, O, f, 0.386
25, 102, O, f, 0.383
25, 103, O, f, 0.381
25, 104, Q, NIL, NIL
25, 105, O, f, 0.382
25, 106, O, f, 0.384
25, 107, O, f, 0.386
25, 108, O, f, 0.385
25, 109, O, f, 0.383
25, 110, O, f, 0.384
25, 111, O, f, 0.383
25, 112, O, f, 0.385
25, 113, O, f, 0.382
25, 114, O, f, 0.385
25, 115, O, f, 0.383
25, 116, O, f, 0.384
25, 117, O, f, 0.386
25, 118, O, f, 0.385
25, 119, O, f, 0.383
25, 120, O, f, 0.384
25, 121, O, f, 0.387
25, 122, O, f, 0.387
25, 123, O, f, 0.391
25, 124, Q, NIL, NIL
25, 125, O, f, 0.385
25, 126, O, f, 0.383
25, 127, O, f, 0.385
25, 128, O, f, 0.383
25, 129, O, f, 0.385
25, 130, O, f, 0.386
25, 131, O, f, 0.385
25, 132, O, f, 0.385
25, 133, O, f, 0.384
25, 134, O, f, 0.385
25, 135, O, f, 0.385
25, 136, Q, NIL, NIL
25, 137, O, f, 0.385
25, 138, O, f, 0.386
25, 139, O, f, 0.388
25, 140, O, f, 0.389
25, 141, O, f, 0.388
25, 142, O, f, 0.383
25, 143, O, f, 0.384
25, 144, O, f, 0.386
25, 145, O, f, 0.383
25, 146, O, f, 0.385
25, 147, O, f, 0.384
25, 148, O, f, 0.384
25, 149, O, f, 0.385
25, 150, O, f, 0.387
25, 151, Q, NIL, NIL
25, 152, O, f, 0.382
25, 153, O, f, 0.383
25, 154, O, f, 0.384
25, 155, O, f, 0.387
25, 156, O, f, 0.386
25, 157, O, f, 0.386
25, 158, O, f, 0.384
25, 159, O, f, 0.386
25, 160, Q, NIL, NIL
25, 161, O, f, 0.387
25, 162, O, f, 0.385
25, 163, O, f, 0.384
25, 164, Q, NIL, NIL
25, 165, O, f, 0.385
25, 166, O, f, 0.384
25, 167, O, f, 0.386
25, 168, O, f, 0.387
25, 169, O, f, 0.388
25, 170, O, f, 0.386
25, 171, O, f, 0.387
25, 172, Q, NIL, NIL
25, 173, O, f, 0.389
25, 174, O, f, 0.386
25, 175, O, f, 0.386
25, 176, Q, NIL, NIL
25, 177, O, f, 0.384
25, 178, O, f, 0.386
25, 179, O, f, 0.391
25, 180, O, f, 0.383
25, 181, O, f, 0.385
25, 182, O, f, 0.384
25, 183, O, f, 0.384
25, 184, Q, NIL, NIL
25, 185, Q, NIL, NIL
25, 186, O, f, 0.388
25, 187, O, f, 0.384
25, 188, O, f, 0.387
25, 189, O, f, 0.385
25, 190, O, f, 0.383
25, 191, O, f, 0.385
25, 192, O, f, 0.383
25, 193, O, f, 0.385
25, 194, O, f, 0.386
25, 195, Q, NIL, NIL
25, 196, O, f, 0.384
25, 197, O, f, 0.385
25, 198, O, f, 0.382
25, 199, O, f, 0.386
25, 200, Q, NIL, NIL
