participant, trial, stimulus, response, rt
18, 1, O, f, 0.511
18, 2, O, f, 0.382
18, 3, O, f, 0.383
18, 4, O, f, 0.388
18, 5, O, f, 0.387
18, 6, Q, NIL, NIL
18, 7, O, f, 0.386
18, 8, O, f, 0.384
18, 9, Q, NIL, NIL
18, 10, O, f, 0.384
18, 11, O, f, 0.387
18, 12, O, f, 0.387
18, 13, O, f, 0.383
18, 14, O, f, 0.384
18, 15, O, f, 0.384
18, 16, O, f, 0.384
18, 17, O, f, 0.387
18, 18, Q, NIL, NIL
18, 19, O, f, 0.386
18, 20, O, f, 0.385
18, 21, O, f, 0.384
18, 22, O, f, 0.385
18, 23, O, f, 0.388
18, 24, O, f, 0.384
18, 25, O, f, 0.384
18, 26, O, f, 0.385
18, 27, O, f, 0.385
18, 28, O, f, 0.385
18, 29, O, f, 0.384
18, 30, O, f, 0.387
18, 31, O, f, 0.384
18, 32, O, f, 0.382
18, 33, O, f, 0.384
18, 34, O, f, 0.386
18, 35, Q, NIL, NIL
18, 36, O, f, 0.384
18, 37, O, f, 0.386
18, 38, O, f, 0.39
18, 39, O, f, 0.383
18, 40, O, f, 0.383
18, 41, O, f, 0.385
18, 42, O, f, 0.386
18, 43, O, f, 0.384
18, 44, O, f, 0.389
18, 45, O, f, 0.383
18, 46, O, f, 0.386
18, 47, O, f, 0.381
18, 48, O, f, 0.386
18, 49, O, f, 0.391
18, 50, O, f, 0.385
18, 51, Q, NIL, NIL
18, 52, O, f, 0.384
18, 53, O, f, 0.386
18, 54, O, f, 0.383
18, 55, O, f, 0.387
18, 56, O, f, 0.384
18, 57, O, f, 0.384
18, 58, O, f, 0.386
18, 59, O, f, 0.386
18, 60, O, f, 0.384
18, 61, Q, NIL, NIL
18, 62, O, f, 0.386
18, 63, Q, NIL, NIL
18, 64, O, f, 0.385
18, 65, O, f, 0.384
18, 66, O, f, 0.387
18, 67, O, f, 0.384
18, 68, O, f, 0.383
18, 69, Q, NIL, NIL
18, 70, O, f, 0.385
18, 71, O, f, 0.384
18, 72, O, f, 0.385
18, 73, O, f, 0.384
18, 74, O, f, 0.386
18, 75, O, f, 0.385
18, 76, Q, NIL, NIL
18, 77, O, f, 0.385
18, 78, O, f, 0.387
18, 79, O, f, 0.384
18, 80, O, f, 0.387
18, 81, O, f, 0.387
18, 82, Q, NIL, NIL
18, 83, O, f, 0.383
18, 84, O, f, 0.386
18, 85, O, f, 0.385
18, 86, O, f, 0.385
18, 87, O, f, 0.386
18, 88, O, f, 0.384
18, 89, O, f, 0.386
18, 90, O, f, 0.383
18, 91, O, f, 0.385
18, 92, O, f, 0.384
18, 93, O, f, 0.384
18, 94, O, f, 0.387
18, 95, O, f, 0.385
18, 96, O, f, 0.389
18, 97, O, f, 0.386
18, 98, O, f, 0.386
18, 99, O, f, 0.385
18, 100, O, f, 0.383
18, 101, O, f, 0.385
18, 102, O, f, 0.384
18, 103, O, f, 0.384
18, 104, Q, NIL, NIL
18, 105, O, f, 0.386
18, 106, O, f, 0.385
18, 107, O, f, 0.386
18, 108, O, f, 0.384
18, 109, O, f, 0.383
18, 110, O, f, 0.384
18, 111, Q, NIL, NIL
18, 112, O, f, 0.386
18, 113, O, f, 0.385
18, 114, O, f, 0.384
18, 115, O, f, 0.385
18, 116, O, f, 0.385
18, 117, O, f, 0.385
18, 118, Q, NIL, NIL
18, 119, O, f, 0.387
18, 120, Q, NIL, NIL
18, 121, O, f, 0.383
18, 122, O, f, 0.386
18, 123, O, f, 0.384
18, 124, O, f, 0.385
18, 125, O, f, 0.383
18, 126, O, f, 0.385
18, 127, O, f, 0.384
18, 128, O, f, 0.386
18, 129, O, f, 0.389
18, 130, O, f, 0.387
18, 131, O, f, 0.382
18, 132, O, f, 0.385
18, 133, O, f, 0.385
18, 134, Q, NIL, NIL
18, 135, O, f, 0.383
18, 136, O, f, 0.385
18, 137, O, f, 0.384
18, 138, O, f, 0.388
18, 139, O, f, 0.386
18, 140, O, f, 0.385
18, 141, O, f, 0.384
18, 142, O, f, 0.386
18, 143, O, f, 0.388
18, 144, O, f, 0.384
18, 145, O, f, 0.382
18, 146, O, f, 0.386
18, 147, O, f, 0.386
18, 148, O, f, 0.388
18, 149, O, f, 0.385
18, 150, O, f, 0.388
18, 151, O, f, 0.385
18, 152, Q, NIL, NIL
18, 153, O, f, 0.385
