participant, trial, stimulus, response, rt
21, 1, O, f, 0.502
21, 2, O, f, 0.384
21, 3, O, f, 0.384
21, 4, O, f, 0.382
21, 5, O, f, 0.383
21, 6, O, f, 0.385
21, 7, O, f, 0.385
21, 8, O, f, 0.385
21, 9, O, f, 0.384
21, 10, O, f, 0.384
21, 11, Q, NIL, NIL
21, 12, O, f, 0.382
21, 13, O, f, 0.385
21, 14, Q, NIL, NIL
21, 15, O, f, 0.384
21, 16, O, f, 0.385
21, 17, O, f, 0.385
21, 18, O, f, 0.384
21, 19, O, f, 0.387
21, 20, O, f, 0.385
21, 21, O, f, 0.385
21, 22, O, f, 0.383
21, 23, O, f, 0.384
21, 24, O, f, 0.388
21, 25, O, f, 0.386
21, 26, O, f, 0.384
21, 27, O, f, 0.385
21, 28, O, f, 0.382
21, 29, O, f, 0.388
21, 30, O, f, 0.381
21, 31, O, f, 0.382
21, 32, O, f, 0.385
21, 33, O, f, 0.385
21, 34, O, f, 0.384
21, 35, O, f, 0.384
21, 36, O, f, 0.386
21, 37, O, f, 0.383
21, 38, O, f, 0.386
21, 39, O, f, 0.384
21, 40, O, f, 0.384
21, 41, O, f, 0.384
21, 42, O, f, 0.389
21, 43, O, f, 0.385
21, 44, Q, NIL, NIL
21, 45, Q, NIL, NIL
21, 46, O, f, 0.382
21, 47, Q, NIL, NIL
21, 48, O, f, 0.384
21, 49, O, f, 0.384
21, 50, O, f, 0.386
21, 51, O, f, 0.385
21, 52, O, f, 0.387
21, 53, O, f, 0.384
21, 54, O, f, 0.384
21, 55, Q, NIL, NIL
21, 56, O, f, 0.385
21, 57, O, f, 0.383
21, 58, O, f, 0.383
21, 59, O, f, 0.384
21, 60, O, f, 0.383
21, 61, O, f, 0.384
21, 62, Q, NIL, NIL
21, 63, O, f, 0.383
21, 64, O, f, 0.382
21, 65, O, f, 0.387
21, 66, O, f, 0.385
21, 67, O, f, 0.386
21, 68, O, f, 0.384
21, 69, O, f, 0.384
21, 70, Q, NIL, NIL
21, 71, Q, NIL, NIL
21, 72, O, f, 0.384
21, 73, O, f, 0.387
21, 74, O, f, 0.386
21, 75, O, f, 0.382
21, 76, O, f, 0.387
21, 77, O, f, 0.385
21, 78, O, f, 0.385
21, 79, O, f, 0.385
21, 80, O, f, 0.387
21, 81, Q, NIL, NIL
21, 82, Q, NIL, NIL
21, 83, O, f, 0.391
21, 84, O, f, 0.382
21, 85, O, f, 0.384
21, 86, O, f, 0.385
21, 87, O, f, 0.382
21, 88, O, f, 0.382
21, 89, O, f, 0.385
21, 90, Q, NIL, NIL
21, 91, O, f, 0.385
21, 92, O, f, 0.385
21, 93, O, f, 0.382
21, 94, O, f, 0.385
21, 95, O, f, 0.385
