participant, trial, stimulus, response, rt
11, 1, Q, NIL, NIL
11, 2, O, f, 0.537
11, 3, O, f, 0.385
11, 4, O, f, 0.384
11, 5, O, f, 0.385
11, 6, O, f, 0.386
11, 7, O, f, 0.384
11, 8, O, f, 0.383
11, 9, O, f, 0.384
11, 10, O, f, 0.386
11, 11, O, f, 0.386
11, 12, Q, NIL, NIL
11, 13, O, f, 0.392
11, 14, O, f, 0.386
11, 15, O, f, 0.386
11, 16, O, f, 0.384
11, 17, O, f, 0.384
11, 18, O, f, 0.388
11, 19, O, f, 0.385
11, 20, O, f, 0.386
11, 21, O, f, 0.387
11, 22, O, f, 0.385
11, 23, O, f, 0.384
11, 24, O, f, 0.384
11, 25, O, f, 0.39
11, 26, O, f, 0.384
11, 27, O, f, 0.385
11, 28, O, f, 0.384
11, 29, O, f, 0.383
11, 30, O, f, 0.387
11, 31, O, f, 0.382
11, 32, O, f, 0.384
11, 33, O, f, 0.384
11, 34, O, f, 0.383
11, 35, O, f, 0.385
11, 36, O, f, 0.387
11, 37, Q, NIL, NIL
11, 38, O, f, 0.384
11, 39, O, f, 0.387
11, 40, O, f, 0.384
11, 41, O, f, 0.384
11, 42, Q, NIL, NIL
11, 43, O, f, 0.385
11, 44, O, f, 0.384
11, 45, O, f, 0.386
11, 46, O, f, 0.383
11, 47, O, f, 0.384
11, 48, Q, NIL, NIL
11, 49, O, f, 0.384
11, 50, O, f, 0.386
11, 51, O, f, 0.386
11, 52, O, f, 0.391
11, 53, O, f, 0.383
11, 54, O, f, 0.383
11, 55, O, f, 0.382
11, 56, O, f, 0.392
11, 57, O, f, 0.384
11, 58, O, f, 0.385
11, 59, O, f, 0.384
11, 60, O, f, 0.387
11, 61, Q, NIL, NIL
11, 62, O, f, 0.385
11, 63, O, f, 0.386
11, 64, O, f, 0.386
11, 65, O, f, 0.384
11, 66, O, f, 0.385
11, 67, O, f, 0.386
11, 68, O, f, 0.384
11, 69, O, f, 0.384
11, 70, O, f, 0.385
11, 71, O, f, 0.385
11, 72, O, f, 0.386
11, 73, Q, NIL, NIL
11, 74, O, f, 0.384
11, 75, O, f, 0.384
11, 76, O, f, 0.385
11, 77, Q, NIL, NIL
11, 78, O, f, 0.386
11, 79, O, f, 0.389
11, 80, O, f, 0.386
11, 81, O, f, 0.383
11, 82, Q, NIL, NIL
11, 83, Q, NIL, NIL
11, 84, O, f, 0.387
11, 85, O, f, 0.388
11, 86, O, f, 0.386
11, 87, O, f, 0.383
11, 88, O, f, 0.39
11, 89, O, f, 0.385
11, 90, O, f, 0.384
11, 91, O, f, 0.385
11, 92, O, f, 0.387
11, 93, O, f, 0.386
11, 94, O, f, 0.385
11, 95, O, f, 0.387
11, 96, O, f, 0.387
11, 97, O, f, 0.385
11, 98, O, f, 0.389
11, 99, O, f, 0.387
11, 100, O, f, 0.388
11, 101, O, f, 0.387
11, 102, O, f, 0.384
11, 103, O, f, 0.388
11, 104, O, f, 0.384
11, 105, Q, NIL, NIL
11, 106, O, f, 0.386
11, 107, O, f, 0.384
11, 108, Q, NIL, NIL
11, 109, O, f, 0.389
11, 110, O, f, 0.386
11, 111, O, f, 0.387
11, 112, O, f, 0.384
11, 113, Q, NIL, NIL
11, 114, Q, NIL, NIL
11, 115, O, f, 0.385
11, 116, O, f, 0.383
11, 117, O, f, 0.382
11, 118, O, f, 0.385
11, 119, Q, NIL, NIL
11, 120, O, f, 0.388
11, 121, O, f, 0.384
11, 122, O, f, 0.384
11, 123, Q, NIL, NIL
11, 124, O, f, 0.386
11, 125, O, f, 0.385
11, 126, O, f, 0.385
11, 127, O, f, 0.387
11, 128, O, f, 0.384
11, 129, O, f, 0.386
11, 130, O, f, 0.383
11, 131, O, f, 0.384
11, 132, O, f, 0.385
11, 133, O, f, 0.384
11, 134, O, f, 0.385
11, 135, O, f, 0.389
11, 136, O, f, 0.387
11, 137, O, f, 0.384
11, 138, O, f, 0.388
11, 139, O, f, 0.382
11, 140, O, f, 0.387
11, 141, O, f, 0.385
11, 142, Q, NIL, NIL
11, 143, O, f, 0.383
11, 144, O, f, 0.384
11, 145, O, f, 0.384
11, 146, O, f, 0.385
11, 147, O, f, 0.386
11, 148, O, f, 0.384
11, 149, O, f, 0.383
11, 150, O, f, 0.389
11, 151, Q, NIL, NIL
11, 152, O, f, 0.384
11, 153, O, f, 0.387
11, 154, O, f, 0.386
11, 155, O, f, 0.383
11, 156, O, f, 0.384
11, 157, O, f, 0.386
11, 158, O, f, 0.386
11, 159, O, f, 0.389
11, 160, O, f, 0.383
11, 161, O, f, 0.386
11, 162, O, f, 0.384
11, 163, O, f, 0.383
11, 164, O, f, 0.386
11, 165, O, f, 0.383
11, 166, O, f, 0.385
11, 167, O, f, 0.385
11, 168, O, f, 0.389
11, 169, O, f, 0.387
11, 170, O, f, 0.385
11, 171, O, f, 0.385
11, 172, O, f, 0.384
11, 173, O, f, 0.384
11, 174, O, f, 0.386
11, 175, O, f, 0.386
11, 176, O, f, 0.386
11, 177, O, f, 0.386
11, 178, O, f, 0.383
11, 179, O, f, 0.386
11, 180, O, f, 0.384
11, 181, O, f, 0.385
11, 182, O, f, 0.384
11, 183, O, f, 0.384
11, 184, Q, NIL, NIL
11, 185, O, f, 0.385
11, 186, O, f, 0.384
11, 187, O, f, 0.387
11, 188, O, f, 0.385
11, 189, O, f, 0.384
11, 190, O, f, 0.384
11, 191, O, f, 0.383
11, 192, O, f, 0.384
11, 193, Q, NIL, NIL
11, 194, O, f, 0.386
11, 195, O, f, 0.389
