participant, trial, stimulus, response, rt
6, 1, O, f, 0.505
6, 2, O, f, 0.388
6, 3, Q, NIL, NIL
6, 4, O, f, 0.384
6, 5, O, f, 0.382
6, 6, O, f, 0.384
6, 7, O, f, 0.384
6, 8, O, f, 0.388
6, 9, O, f, 0.387
6, 10, O, f, 0.384
6, 11, O, f, 0.384
6, 12, O, f, 0.385
6, 13, Q, NIL, NIL
6, 14, O, f, 0.383
6, 15, O, f, 0.385
6, 16, O, f, 0.386
6, 17, O, f, 0.386
6, 18, O, f, 0.385
6, 19, O, f, 0.385
6, 20, O, f, 0.386
6, 21, O, f, 0.384
6, 22, O, f, 0.389
6, 23, O, f, 0.388
6, 24, O, f, 0.385
6, 25, O, f, 0.381
6, 26, O, f, 0.385
6, 27, O, f, 0.386
6, 28, O, f, 0.385
6, 29, O, f, 0.387
6, 30, O, f, 0.391
6, 31, O, f, 0.383
6, 32, Q, NIL, NIL
6, 33, O, f, 0.385
6, 34, O, f, 0.386
6, 35, O, f, 0.387
6, 36, O, f, 0.384
6, 37, O, f, 0.383
6, 38, O, f, 0.385
6, 39, O, f, 0.386
6, 40, O, f, 0.388
6, 41, O, f, 0.386
6, 42, O, f, 0.387
6, 43, O, f, 0.385
6, 44, O, f, 0.384
6, 45, Q, NIL, NIL
6, 46, O, f, 0.386
6, 47, O, f, 0.385
6, 48, Q, NIL, NIL
6, 49, O, f, 0.383
6, 50, O, f, 0.388
6, 51, O, f, 0.388
6, 52, O, f, 0.398
6, 53, O, f, 0.385
6, 54, O, f, 0.386
6, 55, O, f, 0.383
6, 56, O, f, 0.384
6, 57, O, f, 0.388
6, 58, O, f, 0.384
6, 59, O, f, 0.386
6, 60, O, f, 0.382
6, 61, O, f, 0.384
6, 62, O, f, 0.384
6, 63, O, f, 0.387
6, 64, O, f, 0.386
6, 65, O, f, 0.386
6, 66, O, f, 0.384
6, 67, O, f, 0.384
6, 68, O, f, 0.384
6, 69, O, f, 0.383
6, 70, O, f, 0.384
6, 71, Q, NIL, NIL
6, 72, O, f, 0.389
