participant, trial, stimulus, response, rt
17, 1, Q, NIL, NIL
17, 2, O, f, 0.537
17, 3, O, f, 0.408
17, 4, O, f, 0.384
17, 5, O, f, 0.385
17, 6, O, f, 0.385
17, 7, O, f, 0.383
17, 8, O, f, 0.384
17, 9, O, f, 0.384
17, 10, Q, NIL, NIL
17, 11, O, f, 0.384
17, 12, O, f, 0.384
17, 13, O, f, 0.386
17, 14, O, f, 0.386
17, 15, O, f, 0.384
17, 16, O, f, 0.383
17, 17, O, f, 0.388
17, 18, O, f, 0.386
17, 19, O, f, 0.386
17, 20, O, f, 0.384
17, 21, O, f, 0.384
17, 22, O, f, 0.385
17, 23, O, f, 0.384
17, 24, O, f, 0.386
17, 25, O, f, 0.388
17, 26, O, f, 0.386
17, 27, O, f, 0.386
17, 28, O, f, 0.386
17, 29, O, f, 0.383
17, 30, O, f, 0.385
17, 31, O, f, 0.389
17, 32, O, f, 0.385
17, 33, O, f, 0.384
17, 34, O, f, 0.385
17, 35, O, f, 0.386
17, 36, O, f, 0.382
17, 37, O, f, 0.389
17, 38, O, f, 0.386
17, 39, O, f, 0.386
17, 40, O, f, 0.387
17, 41, O, f, 0.384
17, 42, O, f, 0.384
17, 43, O, f, 0.383
17, 44, O, f, 0.388
17, 45, O, f, 0.384
17, 46, O, f, 0.385
17, 47, O, f, 0.384
17, 48, O, f, 0.386
17, 49, O, f, 0.386
17, 50, Q, NIL, NIL
17, 51, O, f, 0.383
17, 52, O, f, 0.384
17, 53, O, f, 0.385
17, 54, O, f, 0.386
17, 55, O, f, 0.386
17, 56, O, f, 0.383
17, 57, O, f, 0.384
17, 58, O, f, 0.386
17, 59, O, f, 0.383
17, 60, O, f, 0.387
17, 61, O, f, 0.384
17, 62, O, f, 0.383
17, 63, O, f, 0.388
17, 64, O, f, 0.385
17, 65, O, f, 0.382
17, 66, O, f, 0.385
17, 67, O, f, 0.384
17, 68, O, f, 0.385
17, 69, O, f, 0.386
17, 70, O, f, 0.386
17, 71, Q, NIL, NIL
17, 72, O, f, 0.384
17, 73, O, f, 0.384
17, 74, O, f, 0.385
17, 75, O, f, 0.383
17, 76, O, f, 0.382
17, 77, O, f, 0.386
17, 78, O, f, 0.386
17, 79, O, f, 0.385
17, 80, O, f, 0.386
17, 81, O, f, 0.387
17, 82, Q, NIL, NIL
17, 83, O, f, 0.382
17, 84, O, f, 0.382
17, 85, O, f, 0.384
17, 86, O, f, 0.385
17, 87, Q, NIL, NIL
17, 88, O, f, 0.387
17, 89, O, f, 0.382
17, 90, Q, NIL, NIL
17, 91, O, f, 0.384
17, 92, O, f, 0.386
17, 93, Q, NIL, NIL
17, 94, O, f, 0.384
17, 95, O, f, 0.383
17, 96, O, f, 0.385
17, 97, O, f, 0.387
17, 98, O, f, 0.389
17, 99, O, f, 0.387
17, 100, O, f, 0.385
17, 101, O, f, 0.381
17, 102, O, f, 0.384
17, 103, O, f, 0.387
17, 104, O, f, 0.384
17, 105, O, f, 0.386
17, 106, O, f, 0.39
17, 107, Q, NIL, NIL
17, 108, O, f, 0.385
17, 109, O, f, 0.383
17, 110, O, f, 0.386
17, 111, O, f, 0.384
17, 112, O, f, 0.385
17, 113, O, f, 0.384
17, 114, O, f, 0.387
17, 115, O, f, 0.386
17, 116, O, f, 0.385
17, 117, O, f, 0.387
17, 118, O, f, 0.383
17, 119, O, f, 0.392
17, 120, O, f, 0.384
17, 121, O, f, 0.383
17, 122, O, f, 0.384
17, 123, O, f, 0.386
17, 124, Q, NIL, NIL
17, 125, O, f, 0.385
17, 126, O, f, 0.386
17, 127, Q, NIL, NIL
17, 128, O, f, 0.384
17, 129, Q, NIL, NIL
17, 130, O, f, 0.384
