participant, trial, stimulus, response, rt
14, 1, O, f, 0.51
14, 2, O, f, 0.386
14, 3, O, f, 0.382
14, 4, O, f, 0.385
14, 5, O, f, 0.386
14, 6, O, f, 0.386
14, 7, O, f, 0.384
14, 8, O, f, 0.384
14, 9, O, f, 0.384
14, 10, O, f, 0.388
14, 11, Q, NIL, NIL
14, 12, O, f, 0.386
14, 13, O, f, 0.385
14, 14, O, f, 0.384
14, 15, O, f, 0.385
14, 16, O, f, 0.388
14, 17, O, f, 0.387
14, 18, O, f, 0.388
14, 19, O, f, 0.384
14, 20, O, f, 0.386
14, 21, O, f, 0.384
14, 22, O, f, 0.382
14, 23, O, f, 0.385
14, 24, O, f, 0.386
14, 25, O, f, 0.384
14, 26, O, f, 0.386
14, 27, O, f, 0.388
14, 28, O, f, 0.385
14, 29, O, f, 0.385
14, 30, O, f, 0.383
14, 31, O, f, 0.384
14, 32, O, f, 0.386
14, 33, O, f, 0.386
14, 34, O, f, 0.384
14, 35, O, f, 0.383
14, 36, O, f, 0.385
14, 37, O, f, 0.385
14, 38, O, f, 0.383
14, 39, O, f, 0.383
14, 40, O, f, 0.387
14, 41, O, f, 0.384
14, 42, O, f, 0.384
14, 43, O, f, 0.385
14, 44, O, f, 0.383
14, 45, O, f, 0.384
14, 46, O, f, 0.383
14, 47, O, f, 0.383
14, 48, O, f, 0.384
14, 49, O, f, 0.384
14, 50, O, f, 0.383
14, 51, O, f, 0.385
14, 52, O, f, 0.389
14, 53, Q, NIL, NIL
14, 54, O, f, 0.389
14, 55, O, f, 0.384
14, 56, O, f, 0.384
14, 57, Q, NIL, NIL
14, 58, O, f, 0.385
14, 59, Q, NIL, NIL
14, 60, O, f, 0.384
14, 61, O, f, 0.385
14, 62, O, f, 0.386
14, 63, O, f, 0.387
14, 64, O, f, 0.383
14, 65, O, f, 0.384
14, 66, O, f, 0.384
14, 67, O, f, 0.389
14, 68, O, f, 0.385
14, 69, O, f, 0.383
14, 70, O, f, 0.382
14, 71, O, f, 0.384
14, 72, O, f, 0.384
14, 73, O, f, 0.391
14, 74, O, f, 0.387
14, 75, O, f, 0.383
14, 76, O, f, 0.385
14, 77, O, f, 0.382
14, 78, O, f, 0.389
14, 79, Q, NIL, NIL
14, 80, O, f, 0.383
14, 81, Q, NIL, NIL
14, 82, O, f, 0.384
14, 83, O, f, 0.386
14, 84, O, f, 0.387
14, 85, O, f, 0.386
14, 86, Q, NIL, NIL
14, 87, Q, NIL, NIL
14, 88, O, f, 0.388
14, 89, O, f, 0.384
14, 90, O, f, 0.393
14, 91, O, f, 0.384
14, 92, O, f, 0.384
14, 93, O, f, 0.384
14, 94, O, f, 0.39
14, 95, Q, NIL, NIL
14, 96, O, f, 0.385
14, 97, O, f, 0.384
14, 98, O, f, 0.385
14, 99, O, f, 0.387
14, 100, O, f, 0.385
14, 101, O, f, 0.383
14, 102, O, f, 0.383
14, 103, O, f, 0.384
14, 104, O, f, 0.385
14, 105, O, f, 0.383
14, 106, O, f, 0.384
14, 107, O, f, 0.385
14, 108, O, f, 0.384
14, 109, O, f, 0.384
14, 110, O, f, 0.385
14, 111, O, f, 0.388
14, 112, O, f, 0.385
14, 113, O, f, 0.386
14, 114, O, f, 0.383
14, 115, Q, NIL, NIL
14, 116, O, f, 0.387
14, 117, O, f, 0.388
14, 118, O, f, 0.384
14, 119, O, f, 0.384
14, 120, O, f, 0.387
14, 121, O, f, 0.386
14, 122, O, f, 0.384
14, 123, O, f, 0.384
14, 124, O, f, 0.393
14, 125, O, f, 0.386
14, 126, O, f, 0.387
14, 127, Q, NIL, NIL
14, 128, O, f, 0.386
14, 129, Q, NIL, NIL
14, 130, O, f, 0.396
14, 131, Q, NIL, NIL
14, 132, O, f, 0.389
14, 133, O, f, 0.384
14, 134, O, f, 0.384
14, 135, Q, NIL, NIL
14, 136, O, f, 0.385
14, 137, O, f, 0.398
14, 138, O, f, 0.384
14, 139, Q, NIL, NIL
14, 140, O, f, 0.387
14, 141, O, f, 0.383
14, 142, O, f, 0.386
14, 143, O, f, 0.387
14, 144, O, f, 0.382
14, 145, O, f, 0.384
14, 146, O, f, 0.387
14, 147, O, f, 0.385
14, 148, O, f, 0.387
14, 149, O, f, 0.384
14, 150, O, f, 0.383
14, 151, O, f, 0.384
14, 152, Q, NIL, NIL
14, 153, O, f, 0.384
14, 154, O, f, 0.383
14, 155, O, f, 0.386
14, 156, O, f, 0.384
14, 157, O, f, 0.383
14, 158, O, f, 0.384
14, 159, Q, NIL, NIL
14, 160, O, f, 0.386
14, 161, O, f, 0.387
14, 162, O, f, 0.385
14, 163, O, f, 0.386
14, 164, O, f, 0.384
14, 165, O, f, 0.386
14, 166, O, f, 0.386
14, 167, O, f, 0.387
14, 168, O, f, 0.386
14, 169, Q, NIL, NIL
14, 170, O, f, 0.383
14, 171, O, f, 0.385
14, 172, O, f, 0.401
14, 173, O, f, 0.383
14, 174, Q, NIL, NIL
14, 175, O, f, 0.384
14, 176, O, f, 0.384
14, 177, O, f, 0.384
14, 178, O, f, 0.384
14, 179, O, f, 0.385
14, 180, O, f, 0.388
14, 181, O, f, 0.387
14, 182, O, f, 0.381
14, 183, O, f, 0.387
14, 184, O, f, 0.384
14, 185, O, f, 0.384
14, 186, O, f, 0.383
14, 187, O, f, 0.384
14, 188, O, f, 0.383
14, 189, O, f, 0.386
14, 190, Q, NIL, NIL
14, 191, O, f, 0.384
14, 192, O, f, 0.381
14, 193, O, f, 0.384
14, 194, O, f, 0.385
14, 195, O, f, 0.386
14, 196, O, f, 0.385
14, 197, O, f, 0.386
14, 198, O, f, 0.382
14, 199, O, f, 0.384
14, 200, O, f, 0.382
