participant, trial, stimulus, response, rt
13, 1, Q, NIL, NIL
13, 2, O, f, 0.539
13, 3, O, f, 0.389
13, 4, O, f, 0.388
13, 5, O, f, 0.385
13, 6, O, f, 0.388
13, 7, O, f, 0.386
13, 8, O, f, 0.383
13, 9, O, f, 0.382
13, 10, O, f, 0.385
13, 11, O, f, 0.393
13, 12, O, f, 0.388
13, 13, O, f, 0.392
13, 14, O, f, 0.385
13, 15, O, f, 0.385
13, 16, O, f, 0.386
13, 17, O, f, 0.384
13, 18, O, f, 0.386
13, 19, O, f, 0.387
13, 20, O, f, 0.385
13, 21, O, f, 0.383
13, 22, O, f, 0.385
13, 23, O, f, 0.383
13, 24, O, f, 0.387
13, 25, O, f, 0.383
13, 26, Q, NIL, NIL
13, 27, Q, NIL, NIL
13, 28, O, f, 0.383
13, 29, O, f, 0.386
13, 30, O, f, 0.383
13, 31, O, f, 0.387
13, 32, O, f, 0.385
13, 33, O, f, 0.383
13, 34, O, f, 0.383
13, 35, O, f, 0.385
13, 36, O, f, 0.382
13, 37, O, f, 0.385
13, 38, O, f, 0.382
13, 39, O, f, 0.385
13, 40, O, f, 0.383
13, 41, O, f, 0.386
13, 42, O, f, 0.385
13, 43, Q, NIL, NIL
13, 44, O, f, 0.385
13, 45, Q, NIL, NIL
13, 46, O, f, 0.388
13, 47, O, f, 0.385
13, 48, O, f, 0.385
13, 49, O, f, 0.385
13, 50, O, f, 0.386
13, 51, O, f, 0.386
13, 52, O, f, 0.383
13, 53, O, f, 0.386
13, 54, O, f, 0.386
13, 55, O, f, 0.388
13, 56, O, f, 0.389
13, 57, O, f, 0.388
13, 58, Q, NIL, NIL
13, 59, O, f, 0.386
13, 60, O, f, 0.384
13, 61, O, f, 0.383
13, 62, O, f, 0.386
13, 63, O, f, 0.382
13, 64, O, f, 0.386
13, 65, O, f, 0.383
13, 66, O, f, 0.383
13, 67, O, f, 0.386
13, 68, O, f, 0.387
13, 69, O, f, 0.386
13, 70, O, f, 0.383
13, 71, O, f, 0.384
13, 72, O, f, 0.386
13, 73, O, f, 0.385
13, 74, O, f, 0.389
13, 75, O, f, 0.383
13, 76, Q, NIL, NIL
13, 77, O, f, 0.385
13, 78, O, f, 0.385
13, 79, O, f, 0.383
13, 80, O, f, 0.389
13, 81, O, f, 0.388
13, 82, O, f, 0.386
13, 83, O, f, 0.384
13, 84, O, f, 0.384
13, 85, Q, NIL, NIL
13, 86, Q, NIL, NIL
13, 87, O, f, 0.385
13, 88, O, f, 0.386
13, 89, O, f, 0.384
13, 90, O, f, 0.385
13, 91, O, f, 0.388
13, 92, O, f, 0.385
13, 93, O, f, 0.383
13, 94, O, f, 0.385
13, 95, Q, NIL, NIL
13, 96, O, f, 0.386
13, 97, O, f, 0.385
13, 98, O, f, 0.386
13, 99, Q, NIL, NIL
13, 100, O, f, 0.385
13, 101, Q, NIL, NIL
13, 102, O, f, 0.384
13, 103, O, f, 0.385
13, 104, O, f, 0.386
13, 105, O, f, 0.385
13, 106, Q, NIL, NIL
13, 107, O, f, 0.385
13, 108, O, f, 0.384
13, 109, O, f, 0.384
13, 110, O, f, 0.384
13, 111, O, f, 0.385
13, 112, O, f, 0.385
13, 113, O, f, 0.385
13, 114, O, f, 0.384
13, 115, O, f, 0.385
13, 116, O, f, 0.387
13, 117, O, f, 0.384
13, 118, O, f, 0.385
13, 119, Q, NIL, NIL
13, 120, O, f, 0.384
13, 121, O, f, 0.387
13, 122, O, f, 0.39
13, 123, O, f, 0.386
13, 124, O, f, 0.386
13, 125, O, f, 0.386
13, 126, O, f, 0.385
13, 127, O, f, 0.385
13, 128, O, f, 0.386
13, 129, O, f, 0.384
13, 130, O, f, 0.385
13, 131, O, f, 0.384
13, 132, O, f, 0.386
13, 133, O, f, 0.385
13, 134, O, f, 0.387
13, 135, O, f, 0.386
13, 136, O, f, 0.383
13, 137, O, f, 0.385
13, 138, O, f, 0.383
13, 139, O, f, 0.385
13, 140, O, f, 0.382
13, 141, O, f, 0.386
13, 142, O, f, 0.384
13, 143, O, f, 0.384
13, 144, O, f, 0.383
13, 145, O, f, 0.386
13, 146, O, f, 0.385
13, 147, O, f, 0.387
13, 148, Q, NIL, NIL
13, 149, O, f, 0.383
13, 150, O, f, 0.384
13, 151, O, f, 0.386
13, 152, O, f, 0.386
13, 153, O, f, 0.386
13, 154, O, f, 0.385
13, 155, O, f, 0.383
13, 156, O, f, 0.388
13, 157, Q, NIL, NIL
13, 158, O, f, 0.389
13, 159, Q, NIL, NIL
13, 160, O, f, 0.385
13, 161, O, f, 0.384
13, 162, O, f, 0.386
13, 163, O, f, 0.385
13, 164, O, f, 0.386
13, 165, O, f, 0.395
13, 166, O, f, 0.385
13, 167, O, f, 0.39
13, 168, O, f, 0.384
13, 169, O, f, 0.385
13, 170, O, f, 0.387
13, 171, O, f, 0.386
13, 172, O, f, 0.388
13, 173, O, f, 0.385
13, 174, O, f, 0.385
13, 175, O, f, 0.384
13, 176, O, f, 0.384
13, 177, O, f, 0.383
13, 178, O, f, 0.385
13, 179, Q, NIL, NIL
13, 180, O, f, 0.384
13, 181, O, f, 0.382
13, 182, O, f, 0.388
13, 183, O, f, 0.385
13, 184, O, f, 0.383
13, 185, O, f, 0.382
13, 186, O, f, 0.386
13, 187, O, f, 0.389
13, 188, O, f, 0.384
13, 189, O, f, 0.384
13, 190, O, f, 0.384
13, 191, O, f, 0.388
13, 192, O, f, 0.384
13, 193, O, f, 0.391
13, 194, Q, NIL, NIL
13, 195, O, f, 0.387
13, 196, O, f, 0.386
13, 197, O, f, 0.387
13, 198, O, f, 0.383
13, 199, Q, NIL, NIL
13, 200, O, f, 0.383
