participant, trial, stimulus, response, rt
9, 1, O, f, 0.502
9, 2, O, f, 0.384
9, 3, Q, NIL, NIL
9, 4, O, f, 0.385
9, 5, O, f, 0.389
9, 6, O, f, 0.385
9, 7, O, f, 0.386
9, 8, O, f, 0.386
9, 9, O, f, 0.387
9, 10, O, f, 0.383
9, 11, O, f, 0.387
9, 12, O, f, 0.384
9, 13, O, f, 0.384
9, 14, O, f, 0.384
9, 15, O, f, 0.385
9, 16, O, f, 0.385
9, 17, O, f, 0.385
9, 18, O, f, 0.385
9, 19, O, f, 0.384
9, 20, O, f, 0.383
9, 21, O, f, 0.386
9, 22, O, f, 0.385
9, 23, O, f, 0.39
9, 24, O, f, 0.386
9, 25, O, f, 0.383
9, 26, O, f, 0.384
9, 27, O, f, 0.386
9, 28, O, f, 0.384
9, 29, O, f, 0.384
9, 30, O, f, 0.383
9, 31, Q, NIL, NIL
9, 32, O, f, 0.385
9, 33, O, f, 0.382
9, 34, O, f, 0.388
9, 35, O, f, 0.386
9, 36, O, f, 0.386
9, 37, O, f, 0.386
9, 38, O, f, 0.384
9, 39, O, f, 0.386
9, 40, Q, NIL, NIL
9, 41, O, f, 0.386
9, 42, O, f, 0.386
9, 43, O, f, 0.384
9, 44, O, f, 0.385
9, 45, O, f, 0.387
9, 46, O, f, 0.383
9, 47, O, f, 0.385
9, 48, O, f, 0.384
9, 49, O, f, 0.39
9, 50, O, f, 0.382
9, 51, O, f, 0.383
9, 52, O, f, 0.384
9, 53, O, f, 0.385
9, 54, O, f, 0.386
9, 55, O, f, 0.387
9, 56, O, f, 0.384
9, 57, O, f, 0.385
9, 58, O, f, 0.387
9, 59, O, f, 0.387
9, 60, O, f, 0.386
9, 61, O, f, 0.383
9, 62, O, f, 0.385
9, 63, O, f, 0.386
9, 64, O, f, 0.383
9, 65, O, f, 0.387
9, 66, O, f, 0.386
9, 67, O, f, 0.39
9, 68, O, f, 0.384
9, 69, O, f, 0.386
9, 70, O, f, 0.383
9, 71, O, f, 0.385
9, 72, O, f, 0.385
9, 73, Q, NIL, NIL
9, 74, O, f, 0.388
9, 75, O, f, 0.388
9, 76, O, f, 0.387
9, 77, O, f, 0.386
9, 78, O, f, 0.389
9, 79, O, f, 0.387
