participant, trial, stimulus, response, rt
22, 1, O, f, 0.503
22, 2, O, f, 0.389
22, 3, O, f, 0.385
22, 4, O, f, 0.383
22, 5, O, f, 0.392
22, 6, O, f, 0.385
22, 7, Q, NIL, NIL
22, 8, O, f, 0.384
22, 9, O, f, 0.386
22, 10, O, f, 0.383
22, 11, O, f, 0.384
22, 12, O, f, 0.386
22, 13, O, f, 0.385
22, 14, O, f, 0.384
22, 15, O, f, 0.386
22, 16, O, f, 0.386
22, 17, O, f, 0.382
22, 18, O, f, 0.384
22, 19, O, f, 0.387
22, 20, O, f, 0.388
22, 21, O, f, 0.387
22, 22, Q, NIL, NIL
22, 23, O, f, 0.388
22, 24, O, f, 0.386
22, 25, O, f, 0.383
22, 26, O, f, 0.384
22, 27, O, f, 0.387
22, 28, O, f, 0.385
22, 29, O, f, 0.386
22, 30, O, f, 0.387
22, 31, O, f, 0.389
22, 32, O, f, 0.385
22, 33, O, f, 0.385
22, 34, O, f, 0.384
22, 35, O, f, 0.386
22, 36, O, f, 0.385
22, 37, O, f, 0.385
22, 38, O, f, 0.383
22, 39, O, f, 0.384
22, 40, O, f, 0.385
22, 41, O, f, 0.382
22, 42, O, f, 0.385
22, 43, O, f, 0.385
22, 44, O, f, 0.384
22, 45, O, f, 0.385
22, 46, O, f, 0.385
22, 47, O, f, 0.385
22, 48, O, f, 0.385
22, 49, O, f, 0.388
22, 50, O, f, 0.385
22, 51, O, f, 0.385
22, 52, O, f, 0.387
22, 53, O, f, 0.383
22, 54, O, f, 0.387
22, 55, O, f, 0.386
22, 56, O, f, 0.387
22, 57, O, f, 0.388
22, 58, O, f, 0.385
22, 59, O, f, 0.385
22, 60, O, f, 0.385
22, 61, O, f, 0.387
22, 62, Q, NIL, NIL
22, 63, Q, NIL, NIL
22, 64, O, f, 0.391
22, 65, O, f, 0.397
22, 66, O, f, 0.385
22, 67, O, f, 0.383
22, 68, O, f, 0.384
22, 69, O, f, 0.384
22, 70, O, f, 0.386
22, 71, Q, NIL, NIL
22, 72, O, f, 0.385
22, 73, O, f, 0.384
22, 74, O, f, 0.386
22, 75, O, f, 0.383
22, 76, O, f, 0.384
22, 77, O, f, 0.391
22, 78, Q, NIL, NIL
22, 79, Q, NIL, NIL
22, 80, O, f, 0.387
22, 81, O, f, 0.386
22, 82, O, f, 0.386
22, 83, O, f, 0.385
22, 84, O, f, 0.385
22, 85, O, f, 0.388
22, 86, O, f, 0.383
22, 87, O, f, 0.385
22, 88, O, f, 0.387
22, 89, O, f, 0.385
22, 90, O, f, 0.386
22, 91, O, f, 0.383
22, 92, O, f, 0.384
22, 93, O, f, 0.383
22, 94, O, f, 0.383
22, 95, O, f, 0.384
22, 96, O, f, 0.384
22, 97, O, f, 0.385
22, 98, Q, NIL, NIL
22, 99, O, f, 0.382
22, 100, O, f, 0.388
22, 101, O, f, 0.385
22, 102, O, f, 0.386
22, 103, O, f, 0.384
