participant, trial, stimulus, response, rt
4, 1, O, f, 0.505
4, 2, O, f, 0.383
4, 3, O, f, 0.387
4, 4, O, f, 0.382
4, 5, O, f, 0.386
4, 6, O, f, 0.389
4, 7, O, f, 0.384
4, 8, O, f, 0.388
4, 9, O, f, 0.383
4, 10, O, f, 0.387
4, 11, O, f, 0.388
4, 12, O, f, 0.389
4, 13, O, f, 0.385
4, 14, Q, NIL, NIL
4, 15, O, f, 0.384
4, 16, O, f, 0.386
4, 17, O, f, 0.388
4, 18, O, f, 0.383
4, 19, O, f, 0.383
4, 20, O, f, 0.383
4, 21, O, f, 0.384
4, 22, O, f, 0.384
4, 23, O, f, 0.387
4, 24, O, f, 0.385
4, 25, O, f, 0.384
4, 26, Q, NIL, NIL
4, 27, O, f, 0.389
4, 28, O, f, 0.385
4, 29, O, f, 0.384
4, 30, O, f, 0.388
4, 31, O, f, 0.383
4, 32, O, f, 0.388
4, 33, O, f, 0.388
4, 34, O, f, 0.383
4, 35, O, f, 0.386
4, 36, O, f, 0.383
4, 37, O, f, 0.386
4, 38, O, f, 0.39
4, 39, O, f, 0.385
4, 40, Q, NIL, NIL
4, 41, O, f, 0.383
4, 42, Q, NIL, NIL
4, 43, O, f, 0.387
4, 44, Q, NIL, NIL
4, 45, Q, NIL, NIL
4, 46, O, f, 0.389
4, 47, O, f, 0.383
4, 48, O, f, 0.386
4, 49, O, f, 0.382
4, 50, O, f, 0.391
4, 51, O, f, 0.393
4, 52, O, f, 0.388
4, 53, O, f, 0.383
4, 54, O, f, 0.384
4, 55, O, f, 0.386
4, 56, O, f, 0.386
4, 57, O, f, 0.386
4, 58, O, f, 0.385
4, 59, O, f, 0.384
4, 60, O, f, 0.385
4, 61, O, f, 0.384
4, 62, O, f, 0.383
4, 63, O, f, 0.384
4, 64, Q, NIL, NIL
4, 65, O, f, 0.397
4, 66, O, f, 0.385
4, 67, O, f, 0.383
4, 68, O, f, 0.384
4, 69, O, f, 0.386
4, 70, O, f, 0.382
4, 71, O, f, 0.383
4, 72, O, f, 0.385
4, 73, O, f, 0.385
4, 74, O, f, 0.386
4, 75, O, f, 0.386
4, 76, O, f, 0.385
4, 77, O, f, 0.386
4, 78, O, f, 0.385
4, 79, O, f, 0.385
4, 80, O, f, 0.383
4, 81, Q, NIL, NIL
4, 82, O, f, 0.389
4, 83, Q, NIL, NIL
4, 84, O, f, 0.383
4, 85, O, f, 0.384
4, 86, O, f, 0.384
4, 87, O, f, 0.384
4, 88, O, f, 0.384
4, 89, O, f, 0.386
4, 90, O, f, 0.383
4, 91, Q, NIL, NIL
4, 92, O, f, 0.384
4, 93, O, f, 0.389
4, 94, O, f, 0.385
4, 95, O, f, 0.384
4, 96, O, f, 0.389
4, 97, O, f, 0.384
4, 98, O, f, 0.384
4, 99, O, f, 0.384
4, 100, Q, NIL, NIL
4, 101, O, f, 0.384
4, 102, O, f, 0.382
4, 103, O, f, 0.383
4, 104, O, f, 0.387
4, 105, O, f, 0.391
4, 106, O, f, 0.383
4, 107, O, f, 0.384
4, 108, O, f, 0.389
4, 109, O, f, 0.384
4, 110, O, f, 0.385
4, 111, O, f, 0.383
4, 112, O, f, 0.385
4, 113, O, f, 0.383
4, 114, O, f, 0.384
4, 115, O, f, 0.39
4, 116, O, f, 0.385
4, 117, O, f, 0.386
4, 118, O, f, 0.385
4, 119, O, f, 0.386
4, 120, O, f, 0.387
4, 121, O, f, 0.389
4, 122, O, f, 0.385
4, 123, O, f, 0.384
4, 124, O, f, 0.386
4, 125, O, f, 0.384
4, 126, Q, NIL, NIL
4, 127, O, f, 0.385
4, 128, O, f, 0.384
4, 129, O, f, 0.386
4, 130, O, f, 0.385
4, 131, Q, NIL, NIL
4, 132, O, f, 0.386
4, 133, O, f, 0.385
4, 134, Q, NIL, NIL
4, 135, O, f, 0.387
4, 136, O, f, 0.385
4, 137, O, f, 0.385
4, 138, O, f, 0.389
4, 139, O, f, 0.384
4, 140, O, f, 0.386
4, 141, O, f, 0.385
4, 142, O, f, 0.39
4, 143, Q, NIL, NIL
4, 144, O, f, 0.385
4, 145, O, f, 0.385
4, 146, O, f, 0.385
4, 147, Q, NIL, NIL
4, 148, O, f, 0.385
4, 149, O, f, 0.382
4, 150, O, f, 0.389
